link,category,title,abstract,keywords,ccs_concepts,author_names,author_affiliations,author_countries
https://arxiv.org/abs/2010.06002,Transparency & Explainability,Incorporating Behavioral Constraints in Online AI Systems.,"This paper proposes a research direction to advance AI which draws inspiration from cognitive theories of human decision making. The premise is that if we gain insights about the causes of some human capabilities that are still lacking in AI (for instance, adaptability, generalizability, common sense, and causal reasoning), we may obtain similar capabilities in an AI system by embedding these causal components. We hope that the high-level description of our vision included in this paper, as well as the several research questions that we propose to consider, can stimulate the AI research community to define, try and evaluate new methodologies, frameworks, and evaluation metrics, in the spirit of achieving a better understanding of both human and machine intelligence.",[],[],"['Grady Booch', 'Francesco Fabiano', 'Lior Horesh', 'Kiran Kate', 'Jon Lenchner', 'Nick Linck', 'Andrea Loreggia', 'Keerthiram Murugesan', 'Nicholas Mattei', 'Francesca Rossi', 'Biplav Srivastava']",[],[]
https://arxiv.org/abs/2204.11910,Transparency & Explainability,Selecting Compliant Agents for Opt-in Micro-Tolling.,"We introduce a new setting, optimize-and-estimate structured bandits. Here, a policy must select a batch of arms, each characterized by its own context, that would allow it to both maximize reward and maintain an accurate (ideally unbiased) population estimate of the reward. This setting is inherent to many public and private sector applications and often requires handling delayed feedback, small data, and distribution shifts. We demonstrate its importance on real data from the United States Internal Revenue Service (IRS). The IRS performs yearly audits of the tax base. Two of its most important objectives are to identify suspected misreporting and to estimate the ""tax gap"" -- the global difference between the amount paid and true amount owed. Based on a unique collaboration with the IRS, we cast these two processes as a unified optimize-and-estimate structured bandit. We analyze optimize-and-estimate approaches to the IRS problem and propose a novel mechanism for unbiased population estimation that achieves rewards comparable to baseline approaches. This approach has the potential to improve audit efficacy, while maintaining policy-relevant estimates of the tax gap. This has important social consequences given that the current tax gap is estimated at nearly half a trillion dollars. We suggest that this problem setting is fertile ground for further research and we highlight its interesting challenges. The results of this and related research are currently being incorporated into the continual improvement of the IRS audit selection methods.",[],[],"['Peter Henderson', 'Ben Chugg', 'Brandon Anderson', 'Kristen Altenburger', 'Alex Turk', 'John Guyton', 'Jacob Goldin', 'Daniel E. Ho']","['The University of Texas at Austin', 'Texas A & M University', 'The University of Texas at Austin', 'The University of Texas at Austin']",[]
https://arxiv.org/abs/2109.09276,Transparency & Explainability,Violence Rating Prediction from Movie Scripts.,"In this paper, we introduce the task of predicting severity of age-restricted aspects of movie content based solely on the dialogue script. We first investigate categorizing the ordinal severity of movies on 5 aspects: Sex, Violence, Profanity, Substance consumption, and Frightening scenes. The problem is handled using a siamese network-based multitask framework which concurrently improves the interpretability of the predictions. The experimental results show that our method outperforms the previous state-of-the-art model and provides useful information to interpret model predictions. The proposed dataset and source code are publicly available at our GitHub repository.",[],[],"['Yigeng Zhang', 'Mahsa Shafaei', 'Fabio Gonzalez', 'Thamar Solorio']","['University of Southern California, Los Angeles, CA', 'University of Southern California, Los Angeles, CA', 'University of Southern California, Los Angeles, CA', 'University of Southern California, Los Angeles, CA', 'University of California Los Angeles, Los Angeles, CA', 'University of Southern California, Los Angeles, CA']",[]
https://arxiv.org/abs/2212.10788,Transparency & Explainability,Predicting Concrete and Abstract Entities in Modern Poetry.,"Drug repositioning holds great promise because it can reduce the time and cost of new drug development. While drug repositioning can omit various R&D processes, confirming pharmacological effects on biomolecules is essential for application to new diseases. Biomedical explainability in a drug repositioning model can support appropriate insights in subsequent in-depth studies. However, the validity of the XAI methodology is still under debate, and the effectiveness of XAI in drug repositioning prediction applications remains unclear. In this study, we propose GraphIX, an explainable drug repositioning framework using biological networks, and quantitatively evaluate its explainability. GraphIX first learns the network weights and node features using a graph neural network from known drug indication and knowledge graph that consists of three types of nodes (but not given node type information): disease, drug, and protein. Analysis of the post-learning features showed that node types that were not known to the model beforehand are distinguished through the learning process based on the graph structure. From the learned weights and features, GraphIX then predicts the disease-drug association and calculates the contribution values of the nodes located in the neighborhood of the predicted disease and drug. We hypothesized that the neighboring protein node to which the model gave a high contribution is important in understanding the actual pharmacological effects. Quantitative evaluation of the validity of protein nodes' contribution using a real-world database showed that the high contribution proteins shown by GraphIX are reasonable as a mechanism of drug action. GraphIX is a framework for evidence-based drug discovery that can present to users new disease-drug associations and identify the protein important for understanding its pharmacological effects from a large and complex knowledge base.",[],[],"['Atsuko Takagi', 'Mayumi Kamada', 'Eri Hamatani', 'Ryosuke Kojima', 'Yasushi Okuno']","['University of Copenhagen, DK Copenhagen', 'University of Copenhagen, DK Copenhagen']",[]
https://arxiv.org/abs/1812.02640,Transparency & Explainability,Pathological Evidence Exploration in Deep Retinal Image Diagnosis.,"Though deep learning has shown successful performance in classifying the label and severity stage of certain disease, most of them give few evidence on how to make prediction. Here, we propose to exploit the interpretability of deep learning application in medical diagnosis. Inspired by Koch's Postulates, a well-known strategy in medical research to identify the property of pathogen, we define a pathological descriptor that can be extracted from the activated neurons of a diabetic retinopathy detector. To visualize the symptom and feature encoded in this descriptor, we propose a GAN based method to synthesize pathological retinal image given the descriptor and a binary vessel segmentation. Besides, with this descriptor, we can arbitrarily manipulate the position and quantity of lesions. As verified by a panel of 5 licensed ophthalmologists, our synthesized images carry the symptoms that are directly related to diabetic retinopathy diagnosis. The panel survey also shows that our generated images is both qualitatively and quantitatively superior to existing methods.",[],[],"['Yuhao Niu', 'Lin Gu', 'Feng Lu', 'Feifan Lv', 'Zongji Wang', 'Imari Sato', 'Zijian Zhang', 'Yangyan Xiao', 'Xunzhang Dai', 'Tingting Cheng']","['State Key Laboratory of VR Technology and Systems, School of CSE, Beihang University, Beijing, China and Beijing Advanced Innovation Center for Big Data-Based Precision Medicine, Beihang University, Beijing, China', 'National Institute of Informatics, Japan', 'State Key Laboratory of VR Technology and Systems, School of CSE, Beihang University, Beijing, China and Beijing Advanced Innovation Center for Big Data-Based Precision Medicine, Beihang University, Beijing, China and Peng Cheng Laboratory, Shenzhen, China', 'State Key Laboratory of VR Technology and Systems, School of CSE, Beihang University, Beijing, China and Peng Cheng Laboratory, Shenzhen, China', 'State Key Laboratory of VR Technology and Systems, School of CSE, Beihang University, Beijing, China', 'National Institute of Informatics, Japan', 'Xiangya Hospital Central South University, China', 'The Second Xiangya Hospital of Central South University, China', 'Xiangya Hospital Central South University, China', 'Xiangya Hospital Central South University, China']","['China', 'Japan', 'China', 'China', 'China', 'Japan', 'China', 'China', 'China', 'China']"
https://arxiv.org/abs/1909.01302,Transparency & Explainability,MPD-AL: An Efficient Membrane Potential Driven Aggregate-Label Learning Algorithm for Spiking Neurons.,"Auditory front-end is an integral part of a spiking neural network (SNN) when performing auditory cognitive tasks. It encodes the temporal dynamic stimulus, such as speech and audio, into an efficient, effective and reconstructable spike pattern to facilitate the subsequent processing. However, most of the auditory front-ends in current studies have not made use of recent findings in psychoacoustics and physiology concerning human listening. In this paper, we propose a neural encoding and decoding scheme that is optimized for speech processing. The neural encoding scheme, that we call Biologically plausible Auditory Encoding (BAE), emulates the functions of the perceptual components of the human auditory system, that include the cochlear filter bank, the inner hair cells, auditory masking effects from psychoacoustic models, and the spike neural encoding by the auditory nerve. We evaluate the perceptual quality of the BAE scheme using PESQ; the performance of the BAE based on speech recognition experiments. Finally, we also built and published two spike-version of speech datasets: the Spike-TIDIGITS and the Spike-TIMIT, for researchers to use and benchmarking of future SNN research.",[],[],"['Zihan Pan', 'Yansong Chua', 'Jibin Wu', 'Malu Zhang', 'Haizhou Li', 'Eliathamby Ambikairajah']","['School of Computer Science and Engineering, University of Electronic Science and Technology of China, China and Department of Electrical and Computer Engineering, National University of Singapore, Singapore', 'Department of Electrical and Computer Engineering, National University of Singapore, Singapore', 'Institute for Infocomm Research, A*STAR, Singapore', 'School of Computer Science and Engineering, University of Electronic Science and Technology of China, China', 'Department of Electrical and Computer Engineering, National University of Singapore, Singapore', 'JD AI Research', 'Department of Electrical and Computer Engineering, National University of Singapore, Singapore and Institute for Infocomm Research, A*STAR, Singapore']","['China', 'Singapore', 'Singapore', 'China', 'Singapore', 'Singapore']"
https://arxiv.org/abs/2009.12078,Transparency & Explainability,Adaptive Proximal Average Based Variance Reducing Stochastic Methods for Optimization with Composite Regularization.,"Optimizing with group sparsity is significant in enhancing model interpretability in machining learning applications, e.g., feature selection, compressed sensing and model compression. However, for large-scale stochastic training problems, effective group sparsity exploration are typically hard to achieve. Particularly, the state-of-the-art stochastic optimization algorithms usually generate merely dense solutions. To overcome this shortage, we propose a stochastic method -- Half-space Stochastic Projected Gradient (HSPG) method to search solutions of high group sparsity while maintain the convergence. Initialized by a simple Prox-SG Step, the HSPG method relies on a novel Half-Space Step to substantially boost the sparsity level. Numerically, HSPG demonstrates its superiority in deep neural networks, e.g., VGG16, ResNet18 and MobileNetV1, by computing solutions of higher group sparsity, competitive objective values and generalization accuracy.",[],[],"['Tianyi Chen', 'Guanyi Wang', 'Tianyu Ding', 'Bo Ji', 'Sheng Yi', 'Zhihui Zhu']","['School of Computer Science and Technology, University of Science and Technology of China, Hefei, China', 'School of Computer Science and Technology, University of Science and Technology of China, Hefei, China', 'School of Computer Science and Technology, University of Science and Technology of China, Hefei, China', 'School of Computer Science and Technology, University of Science and Technology of China, Hefei, China']","['China', 'China', 'China', 'China']"
https://arxiv.org/abs/1812.02993,Transparency & Explainability,Optimal Dynamic Auctions Are Virtual Welfare Maximizers.,"We are interested in the setting where a seller sells sequentially arriving items, one per period, via a dynamic auction. At the beginning of each period, each buyer draws a private valuation for the item to be sold in that period and this valuation is independent across buyers and periods. The auction can be dynamic in the sense that the auction at period $t$ can be conditional on the bids in that period and all previous periods, subject to certain appropriately defined incentive compatible and individually rational conditions. Perhaps not surprisingly, the revenue optimal dynamic auctions are computationally hard to find and existing literatures that aim to approximate the optimal auctions are all based on solving complex dynamic programs. It remains largely open on the structural interpretability of the optimal dynamic auctions. In this paper, we show that any optimal dynamic auction is a virtual welfare maximizer subject to some monotone allocation constraints. In particular, the explicit definition of the virtual value function above arises naturally from the primal-dual analysis by relaxing the monotone constraints. We further develop an ironing technique that gets rid of the monotone allocation constraints. Quite different from Myerson's ironing approach, our technique is more technically involved due to the interdependence of the virtual value functions across buyers. We nevertheless show that ironing can be done approximately and efficiently, which in turn leads to a Fully Polynomial Time Approximation Scheme of the optimal dynamic auction.",[],[],"['Vahab Mirrokni', 'Renato Paes Leme', 'Pingzhong Tang', 'Song Zuo']","['Google Research', 'Google Research', 'Tsinghua University', 'Google Research']",[]
https://arxiv.org/abs/2111.06721,Transparency & Explainability,Counterfactual Randomization: Rescuing Experimental Studies from Obscured Confounding.,"This paper serves to introduce the reader to the field of multi-agent reinforcement learning (MARL) and its intersection with methods from the study of causality. We highlight key challenges in MARL and discuss these in the context of how causal methods may assist in tackling them. We promote moving toward a 'causality first' perspective on MARL. Specifically, we argue that causality can offer improved safety, interpretability, and robustness, while also providing strong theoretical guarantees for emergent behaviour. We discuss potential solutions for common challenges, and use this context to motivate future research directions.",[],[],"['St John Grimbly', 'Jonathan Shock', 'Arnu Pretorius']","['Department of Computer Science, Loyola Marymount University, Los Angeles, CA', 'Department of Computer Science, Purdue University, West Lafayette, IN']",[]
https://arxiv.org/abs/2208.12523,Transparency & Explainability,Deep Neural Networks Constrained by Decision Rules.,"We describe a novel approach to explainable prediction of a continuous variable based on learning fuzzy weighted rules. Our model trains a set of weighted rules to maximise prediction accuracy and minimise an ontology-based 'semantic loss' function including user-specified constraints on the rules that should be learned in order to maximise the explainability of the resulting rule set from a user perspective. This system fuses quantitative sub-symbolic learning with symbolic learning and constraints based on domain knowledge. We illustrate our system on a case study in predicting the outcomes of behavioural interventions for smoking cessation, and show that it outperforms other interpretable approaches, achieving performance close to that of a deep learning model, while offering transparent explainability that is an essential requirement for decision-makers in the health domain.",[],[],"['Martin Glauer', 'Robert West', 'Susan Michie', 'Janna Hastings']","['NEC Corporation, Kawasaki, Kanagawa, Japan', 'NEC Corporation, Kawasaki, Kanagawa, Japan']","['Japan', 'Japan']"
