link,category,title,abstract,keywords,ccs_concepts,author_names,author_affiliations,author_countries
https://arxiv.org/abs/2302.09157,Transparency & Explainability,Blind Justice: Algorithmically Masking Race in Charging Decisions.,"Predictive algorithms are now used to help distribute a large share of our society's resources and sanctions, such as healthcare, loans, criminal detentions, and tax audits. Under the right circumstances, these algorithms can improve the efficiency and equity of decision-making. At the same time, there is a danger that the algorithms themselves could entrench and exacerbate disparities, particularly along racial, ethnic, and gender lines. To help ensure their fairness, many researchers suggest that algorithms be subject to at least one of three constraints: (1) no use of legally protected features, such as race, ethnicity, and gender; (2) equal rates of ""positive"" decisions across groups; and (3) equal error rates across groups. Here we show that these constraints, while intuitively appealing, often worsen outcomes for individuals in marginalized groups, and can even leave all groups worse off. The inherent trade-off we identify between formal fairness constraints and welfare improvements -- particularly for the marginalized -- highlights the need for a more robust discussion on what it means for an algorithm to be ""fair"". We illustrate these ideas with examples from healthcare and the criminal-legal system, and make several proposals to help practitioners design more equitable algorithms.",[],[],"['Alex Chohlas-Wood', 'Madison Coots', 'Sharad Goel', 'Julian Nyarko']","['Stanford University, Stanford, CA, USA', 'Stanford University, Stanford, CA, USA', 'Stanford University, Stanford, CA, USA', 'Stanford University, Stanford, CA, USA', 'Stanford University, Stanford, CA, USA', 'Stanford University, Stanford, CA, USA']","['US', 'US', 'US', 'US', 'US', 'US']"
https://arxiv.org/abs/2011.03654,Transparency & Explainability,Fair Machine Learning under Partial Compliance.,"Typically, fair machine learning research focuses on a single decisionmaker and assumes that the underlying population is stationary. However, many of the critical domains motivating this work are characterized by competitive marketplaces with many decisionmakers. Realistically, we might expect only a subset of them to adopt any non-compulsory fairness-conscious policy, a situation that political philosophers call partial compliance. This possibility raises important questions: how does the strategic behavior of decision subjects in partial compliance settings affect the allocation outcomes? If k% of employers were to voluntarily adopt a fairness-promoting intervention, should we expect k% progress (in aggregate) towards the benefits of universal adoption, or will the dynamics of partial compliance wash out the hoped-for benefits? How might adopting a global (versus local) perspective impact the conclusions of an auditor? In this paper, we propose a simple model of an employment market, leveraging simulation as a tool to explore the impact of both interaction effects and incentive effects on outcomes and auditing metrics. Our key findings are that at equilibrium: (1) partial compliance (k% of employers) can result in far less than proportional (k%) progress towards the full compliance outcomes; (2) the gap is more severe when fair employers match global (vs local) statistics; (3) choices of local vs global statistics can paint dramatically different pictures of the performance vis-a-vis fairness desiderata of compliant versus non-compliant employers; and (4) partial compliance to local parity measures can induce extreme segregation.",[],[],"['Jessica Dai', 'Sina Fazelpour', 'Zachary C. Lipton']","['Brown University, Providence, RI, USA', 'Carnegie Mellon University, Pittsburgh, PA, USA', 'Carnegie Mellon University, Pittsburgh, PA, USA']","['US', 'US', 'US']"
https://arxiv.org/abs/2203.15370,Transparency & Explainability,Moral Disagreement and Artificial Intelligence.,"An assurance case is a structured argument, typically produced by safety engineers, to communicate confidence that a critical or complex system, such as an aircraft, will be acceptably safe within its intended context. Assurance cases often inform third party approval of a system. One emerging proposition within the trustworthy AI and autonomous systems (AI/AS) research community is to use assurance cases to instil justified confidence that specific AI/AS will be ethically acceptable when operational in well-defined contexts. This paper substantially develops the proposition and makes it concrete. It brings together the assurance case methodology with a set of ethical principles to structure a principles-based ethics assurance argument pattern. The principles are justice, beneficence, non-maleficence, and respect for human autonomy, with the principle of transparency playing a supporting role. The argument pattern, shortened to the acronym PRAISE, is described. The objective of the proposed PRAISE argument pattern is to provide a reusable template for individual ethics assurance cases, by which engineers, developers, operators, or regulators could justify, communicate, or challenge a claim about the overall ethical acceptability of the use of a specific AI/AS in a given socio-technical context. We apply the pattern to the hypothetical use case of an autonomous robo-taxi service in a city centre.",[],[],"['Zoe Porter', 'Ibrahim Habli', 'John McDermid', 'Marten Kaas']","['Australian National University, Canberra, Australia']",['Australia']
https://arxiv.org/abs/1907.00164,Transparency & Explainability,On the Privacy Risks of Model Explanations.,"Privacy and transparency are two key foundations of trustworthy machine learning. Model explanations offer insights into a model's decisions on input data, whereas privacy is primarily concerned with protecting information about the training data. We analyze connections between model explanations and the leakage of sensitive information about the model's training set. We investigate the privacy risks of feature-based model explanations using membership inference attacks: quantifying how much model predictions plus their explanations leak information about the presence of a datapoint in the training set of a model. We extensively evaluate membership inference attacks based on feature-based model explanations, over a variety of datasets. We show that backpropagation-based explanations can leak a significant amount of information about individual training datapoints. This is because they reveal statistical information about the decision boundaries of the model about an input, which can reveal its membership. We also empirically investigate the trade-off between privacy and explanation quality, by studying the perturbation-based model explanations.",[],[],"['Reza Shokri', 'Martin Strobel', 'Yair Zick']","['National University of Singapore, Singapore, Singapore', 'National University of Singapore, Singapore, Singapore', 'University of Massachusetts, Amherst, Amherst, MA, USA']","['Singapore', 'Singapore', 'US']"
https://arxiv.org/abs/2002.11836,Transparency & Explainability,Are AI Ethics Conferences Different and More Diverse Compared to Traditional Computer Science Conferences?,"The emergence and growth of research on issues of ethics in AI, and in particular algorithmic fairness, has roots in an essential observation that structural inequalities in society are reflected in the data used to train predictive models and in the design of objective functions. While research aiming to mitigate these issues is inherently interdisciplinary, the design of unbiased algorithms and fair socio-technical systems are key desired outcomes which depend on practitioners from the fields of data science and computing. However, these computing fields broadly also suffer from the same under-representation issues that are found in the datasets we analyze. This disconnect affects the design of both the desired outcomes and metrics by which we measure success. If the ethical AI research community accepts this, we tacitly endorse the status quo and contradict the goals of non-discrimination and equity which work on algorithmic fairness, accountability, and transparency seeks to address. Therefore, we advocate in this work for diversifying computing as a core priority of the field and our efforts to achieve ethical AI practices. We draw connections between the lack of diversity within academic and professional computing fields and the type and breadth of the biases encountered in datasets, machine learning models, problem formulations, and interpretation of results. Examining the current fairness/ethics in AI literature, we highlight cases where this lack of diverse perspectives has been foundational to the inequity in treatment of underrepresented and protected group data. We also look to other professional communities, such as in law and health, where disparities have been reduced both in the educational diversity of trainees and among professional practices. We use these lessons to develop recommendations that provide concrete steps for the computing community to increase diversity.",[],[],"['Caitlin Kuhlman', 'Latifa Jackson', 'Rumi Chunara']","['Syracuse University, Syracuse, NY, USA', 'Syracuse University, Syracuse, NY, USA']","['US', 'US']"
https://arxiv.org/abs/2105.00060,Transparency & Explainability,Ethical Implementation of Artificial Intelligence to Select Embryos in In Vitro Fertilization.,"AI has the potential to revolutionize many areas of healthcare. Radiology, dermatology, and ophthalmology are some of the areas most likely to be impacted in the near future, and they have received significant attention from the broader research community. But AI techniques are now also starting to be used in in vitro fertilization (IVF), in particular for selecting which embryos to transfer to the woman. The contribution of AI to IVF is potentially significant, but must be done carefully and transparently, as the ethical issues are significant, in part because this field involves creating new people. We first give a brief introduction to IVF and review the use of AI for embryo selection. We discuss concerns with the interpretation of the reported results from scientific and practical perspectives. We then consider the broader ethical issues involved. We discuss in detail the problems that result from the use of black-box methods in this context and advocate strongly for the use of interpretable models. Importantly, there have been no published trials of clinical effectiveness, a problem in both the AI and IVF communities, and we therefore argue that clinical implementation at this point would be premature. Finally, we discuss ways for the broader AI community to become involved to ensure scientifically sound and ethically responsible development of AI in IVF.",[],[],"['Michael Anis Mihdi Afnan', 'Cynthia Rudin', 'Vincent Conitzer', 'Julian Savulescu', 'Abhishek Mishra', 'Yanhe Liu', 'Masoud Afnan']","['Imperial College London, London, United Kingdom', 'Duke University, Durham, NC, USA', 'Duke University & Oxford University, Durham, NC, USA', ""Oxford University & Oxford University & Royal Children's Hospital, Oxford, United Kingdom"", 'Oxford University, Oxford, United Kingdom', 'Monash IVF Group & University of Western Australia & Edith Cowan University, Southport, Australia', 'Qingdao United Family Hospital, Qingdao, China']","['United Kingdom', 'US', 'US', 'United Kingdom', 'United Kingdom', 'Australia', 'China']"
https://arxiv.org/abs/2206.07173,Transparency & Explainability,"Person, Human, Neither: The Dehumanization Potential of Automated Image Tagging.","Previous work has largely considered the fairness of image captioning systems through the underspecified lens of ""bias."" In contrast, we present a set of techniques for measuring five types of representational harms, as well as the resulting measurements obtained for two of the most popular image captioning datasets using a state-of-the-art image captioning system. Our goal was not to audit this image captioning system, but rather to develop normatively grounded measurement techniques, in turn providing an opportunity to reflect on the many challenges involved. We propose multiple measurement techniques for each type of harm. We argue that by doing so, we are better able to capture the multi-faceted nature of each type of harm, in turn improving the (collective) validity of the resulting measurements. Throughout, we discuss the assumptions underlying our measurement approach and point out when they do not hold.",[],[],"['Angelina Wang', 'Solon Barocas', 'Kristen Laird', 'Hanna Wallach']","['CYENS Centre of Excellence, Nicosia, Cyprus', 'CYENS Centre of Excellence, Nicosia, Cyprus', 'Cyprus Center for Algorithmic Transparency & Open University of Cyprus, Latsia, Cyprus', 'Cyprus Center for Algorithmic Transparency & Open University of Cyprus, Latsia, Cyprus']","['Cyprus', 'Cyprus', 'Cyprus', 'Cyprus']"
https://arxiv.org/abs/2101.02555,Transparency & Explainability,Explainable AI and Adoption of Financial Algorithmic Advisors: An Experimental Study.,"We study whether receiving advice from either a human or algorithmic advisor, accompanied by five types of Local and Global explanation labelings, has an effect on the readiness to adopt, willingness to pay, and trust in a financial AI consultant. We compare the differences over time and in various key situations using a unique experimental framework where participants play a web-based game with real monetary consequences. We observed that accuracy-based explanations of the model in initial phases leads to higher adoption rates. When the performance of the model is immaculate, there is less importance associated with the kind of explanation for adoption. Using more elaborate feature-based or accuracy-based explanations helps substantially in reducing the adoption drop upon model failure. Furthermore, using an autopilot increases adoption significantly. Participants assigned to the AI-labeled advice with explanations were willing to pay more for the advice than the AI-labeled advice with a No-explanation alternative. These results add to the literature on the importance of XAI for algorithmic adoption and trust.",[],[],"['Daniel Ben David', 'Yehezkel S. Resheff', 'Talia Tron']","['The Hebrew University of Jerusalem, Jerusalem, Israel', 'Holon Institude of Technology, Holon, Israel', 'Intuit Inc., Tel Aviv, Israel']","['Israel', 'Israel', 'Israel']"
https://arxiv.org/abs/2011.07586,Transparency & Explainability,"Uncertainty as a Form of Transparency: Measuring, Communicating, and Using Uncertainty.","Algorithmic transparency entails exposing system properties to various stakeholders for purposes that include understanding, improving, and contesting predictions. Until now, most research into algorithmic transparency has predominantly focused on explainability. Explainability attempts to provide reasons for a machine learning model's behavior to stakeholders. However, understanding a model's specific behavior alone might not be enough for stakeholders to gauge whether the model is wrong or lacks sufficient knowledge to solve the task at hand. In this paper, we argue for considering a complementary form of transparency by estimating and communicating the uncertainty associated with model predictions. First, we discuss methods for assessing uncertainty. Then, we characterize how uncertainty can be used to mitigate model unfairness, augment decision-making, and build trustworthy systems. Finally, we outline methods for displaying uncertainty to stakeholders and recommend how to collect information required for incorporating uncertainty into existing ML pipelines. This work constitutes an interdisciplinary review drawn from literature spanning machine learning, visualization/HCI, design, decision-making, and fairness. We aim to encourage researchers and practitioners to measure, communicate, and use uncertainty as a form of transparency.",[],[],"['Umang Bhatt', 'Javier Antorán', 'Yunfeng Zhang', 'Q. Vera Liao', 'Prasanna Sattigeri', 'Riccardo Fogliato', 'Gabrielle Gauthier Melançon', 'Ranganath Krishnan', 'Jason Stanley', 'Omesh Tickoo', 'Lama Nachman', 'Rumi Chunara', 'Madhulika Srikumar', 'Adrian Weller', 'Alice Xiang']","['University of Cambridge, Cambridge, United Kingdom', 'University of Cambridge, Cambridge, United Kingdom', 'IBM Research, Yorktown Heights, NY, USA', 'IBM Research, Yorktown Heights, NY, USA', 'IBM Research, Yorktown Heights, NY, USA', 'Carnegie Mellon University, Pittsburgh, PA, USA', 'ElementAI, Montreal, PQ, Canada', 'Intel, Portland, OR, USA', 'ElementAI, Montreal, PQ, Canada', 'Intel, Portland, OR, USA', 'Intel, Santa Clara, CA, USA', 'New York University, New York City, NY, USA', 'Partnership on AI, San Francisco, CA, USA', 'University of Cambridge, Cambridge, United Kingdom', 'Sony AI, Seattle, WA, USA']","['United Kingdom', 'United Kingdom', 'US', 'US', 'US', 'US', 'Canada', 'US', 'Canada', 'US', 'US', 'US', 'US', 'United Kingdom', 'US']"
https://arxiv.org/abs/2105.10174,Transparency & Explainability,Algorithmic Audit of Italian Car Insurance: Evidence of Unfairness in Access and Pricing.,"We conduct an audit of pricing algorithms employed by companies in the Italian car insurance industry, primarily by gathering quotes through a popular comparison website. While acknowledging the complexity of the industry, we find evidence of several problematic practices. We show that birthplace and gender have a direct and sizeable impact on the prices quoted to drivers, despite national and international regulations against their use. Birthplace, in particular, is used quite frequently to the disadvantage of foreign-born drivers and drivers born in certain Italian cities. In extreme cases, a driver born in Laos may be charged 1,000 euros more than a driver born in Milan, all else being equal. For a subset of our sample, we collect quotes directly on a company website, where the direct influence of gender and birthplace is confirmed. Finally, we find that drivers with riskier profiles tend to see fewer quotes in the aggregator result pages, substantiating concerns of differential treatment raised in the past by Italian insurance regulators.",[],[],"['Alessandro Fabris', 'Alan Mishler', 'Stefano Gottardi', 'Mattia Carletti', 'Matteo Daicampi', 'Gian Antonio Susto', 'Gianmaria Silvello']","['University of Padua, Padua, Italy', 'Carnegie Mellon University, Pittsburgh, PA, USA', 'University of Padua, Padua, Italy', 'University of Padua, Padua, Italy', 'University of Udine, Udine, Italy', 'University of Padua, Padua, Italy', 'University of Padua, Padua, Italy']","['Italy', 'US', 'Italy', 'Italy', 'Italy', 'Italy', 'Italy']"
