link,category,title,abstract,keywords,ccs_concepts,author_names,author_affiliations,author_countries
https://neurips.cc/virtual/2020/workshop/16159,Transparency & Explainability,Topological Data Analysis and Beyond,,[],[],"['Bastian Rieck', 'Frederic Chazal', 'Smita Krishnaswamy', 'Roland Kwitt', 'Karthikeyan Natesan Ramamurthy', 'Yuhei Umeda', 'Guy Wolf']",[],[]
https://neurips.cc/virtual/2020/workshop/16153,Transparency & Explainability,Self-Supervised Learning for Speech and Audio Processing,,[],[],"['Abdelrahman Mohamed', 'Hung-yi Lee', 'Shinji Watanabe', 'Shang-Wen Li', 'Tara Sainath', 'Karen Livescu']",[],[]
https://neurips.cc/virtual/2020/workshop/16110,Transparency & Explainability,Causal Discovery and Causality-Inspired Machine Learning,,[],[],"['Biwei Huang', 'Sara Magliacane', 'Kun Zhang', 'Danielle Belgrave', 'Elias Bareinboim', 'Daniel Malinsky', 'Thomas Richardson', 'Christopher Meek', 'Peter Spirtes', 'Bernhard Schölkopf']",[],[]
https://neurips.cc/virtual/2020/workshop/16106,Transparency & Explainability,Algorithmic Fairness through the Lens of Causality and Interpretability,,[],[],"['Awa Dieng', 'Jessica Schrouff', 'Matt Kusner', 'Golnoosh Farnadi', 'Fernando Diaz']",[],[]
https://neurips.cc/virtual/2020/workshop/16140,Transparency & Explainability,Medical Imaging Meets NeurIPS,,[],[],"['Jonas Teuwen', 'Qi Dou', 'Ben Glocker', 'Ipek Oguz', 'Aasa Feragen', 'Hervé Lombaert', 'Ender Konukoglu', 'Marleen de Bruijne']",[],[]
https://neurips.cc/virtual/2020/workshop/16120,Transparency & Explainability,Interpretable Inductive Biases and Physically Structured Learning,,[],[],"['Michael Lutter', 'Alexander Terenin', 'Shirley Ho', 'Lei Wang']",[],[]
https://neurips.cc/virtual/2020/workshop/16126,Transparency & Explainability,HAMLETS: Human And Model in the Loop Evaluation and Training Strategies,,[],[],"['Divyansh Kaushik', 'Bhargavi Paranjape', 'Forough Arabshahi', 'Yanai Elazar', 'Yixin Nie', 'Max Bartolo', 'Polina Kirichenko', 'Pontus Lars Erik Saito Stenetorp', 'Mohit Bansal', 'Zachary Lipton', 'Douwe Kiela']",[],[]
https://neurips.cc/virtual/2020/workshop/16138,Transparency & Explainability,Machine Learning for Systems,,[],[],"['Anna Goldie', 'Azalia Mirhoseini', 'Jonathan Raiman', 'Martin Maas', 'Xinlei XU']",[],[]
https://neurips.cc/virtual/2020/workshop/16162,Fairness & Bias,Workshop on Dataset Curation and Security,,[],[],"['Nathalie Baracaldo', 'Yonatan Bisk', 'Avrim Blum', 'Michael Curry', 'John Dickerson', 'Micah Goldblum', 'Tom Goldstein', 'Bo Li', 'Avi Schwarzschild']",[],[]
https://neurips.cc/virtual/2020/workshop/16158,Fairness & Bias,The pre-registration experiment: an alternative publication model for machine learning research,,[],[],"['Luca Bertinetto', 'João Henriques', 'Samuel Albanie', 'Michela Paganini', 'Gul Varol']",[],[]
https://neurips.cc/virtual/2020/workshop/16110,Fairness & Bias,Causal Discovery and Causality-Inspired Machine Learning,,[],[],"['Biwei Huang', 'Sara Magliacane', 'Kun Zhang', 'Danielle Belgrave', 'Elias Bareinboim', 'Daniel Malinsky', 'Thomas Richardson', 'Christopher Meek', 'Peter Spirtes', 'Bernhard Schölkopf']",[],[]
https://neurips.cc/virtual/2020/workshop/16151,Fairness & Bias,Resistance AI Workshop,,[],[],"['Suzanne Kite', 'Mattie Tesfaldet', 'J Khadijah Abdurahman', 'William Agnew', 'Elliot Creager', 'Agata Foryciarz', 'Raphael Gontijo Lopes', 'Pratyusha Kalluri', 'Marie-Therese Png', 'Manuel Sabin', 'Maria Skoularidou', 'Ramon Vilarino', 'Rose Wang', 'Sayash Kapoor', 'Micah Carroll']",[],[]
