link,category,title,abstract,keywords,ccs_concepts,author_names,author_affiliations,author_countries
https://papers.nips.cc/paper_files/paper/2019/hash/07cb5f86508f146774a2fac4373a8e50-Abstract.html,Transparency & Explainability,A Normative Theory for Causal Inference and Bayes Factor Computation in Neural Circuits,"This study provides a normative theory for how Bayesian causal inference can be implemented in neural circuits. In both cognitive processes such as causal reasoning and perceptual inference such as cue integration, the nervous systems need to choose different models representing the underlying causal structures when making inferences on external stimuli. In multisensory processing, for example, the nervous system has to choose whether to integrate or segregate inputs from different sensory modalities to infer the sensory stimuli, based on whether the inputs are from the same or different sources. Making this choice is a model selection problem requiring the computation of Bayes factor, the ratio of likelihoods between the integration and the segregation models. In this paper, we consider the causal inference in multisensory processing and propose a novel generative model based on neural population code that takes into account both stimulus feature and stimulus reliability in the inference. In the case of circular variables such as heading direction, our normative theory yields an analytical solution for computing the Bayes factor, with a clear geometric interpretation, which can be implemented by simple additive mechanisms with neural population code. Numerical simulation shows that the tunings of the neurons computing Bayes factor are consistent with the ""opposite neurons"" discovered in dorsal medial superior temporal (MSTd) and the ventral intraparietal (VIP) areas for visual-vestibular processing. This study illuminates a potential neural mechanism for causal inference in the brain.",[],[],"['Wenhao Zhang', 'Si Wu', 'Brent Doiron', 'Tai Sing Lee']",[],[]
https://papers.nips.cc/paper_files/paper/2019/hash/11b9842e0a271ff252c1903e7132cd68-Abstract.html,Transparency & Explainability,CPM-Nets: Cross Partial Multi-View Networks,"Despite multi-view learning progressed fast in past decades, it is still challenging due to the difficulty in modeling complex correlation among different views, especially under the context of view missing. To address the challenge, we propose a novel framework termed Cross Partial Multi-View Networks (CPM-Nets). In this framework, we first give a formal definition of completeness and versatility for multi-view representation and then theoretically prove the versatility of the latent representation learned from our algorithm. To achieve the completeness, the task of learning latent multi-view representation is specifically translated to degradation process through mimicking data transmitting, such that the optimal tradeoff between consistence and complementarity across different views could be achieved. In contrast with methods that either complete missing views or group samples according to view-missing patterns, our model fully exploits all samples and all views to produce structured representation for interpretability. Extensive experimental results validate the effectiveness of our algorithm over existing state-of-the-arts.",[],[],"['Changqing Zhang', 'Zongbo Han', 'yajie cui', 'Huazhu Fu', 'Joey Tianyi Zhou', 'Qinghua Hu']",[],[]
https://papers.nips.cc/paper_files/paper/2019/hash/1b486d7a5189ebe8d8c46afc64b0d1b4-Abstract.html,Transparency & Explainability,On the Fairness of Disentangled Representations,"Recently there has been a significant interest in learning disentangled representations, as they promise increased interpretability, generalization to unseen scenarios and faster learning on downstream tasks. In this paper, we investigate the usefulness of different notions of disentanglement for improving the fairness of downstream prediction tasks based on representations.We consider the setting where the goal is to predict a target variable based on the learned representation of high-dimensional observations (such as images) that depend on both the target variable and an unobserved sensitive variable.We show that in this setting both the optimal and empirical predictions can be unfair, even if the target variable and the sensitive variable are independent.Analyzing the representations of more than 12600 trained state-of-the-art disentangled models, we observe that several disentanglement scores are consistently correlated with increased fairness, suggesting that disentanglement may be a useful property to encourage fairness when sensitive variables are not observed.",[],[],"['Francesco Locatello', 'Gabriele Abbati', 'Thomas Rainforth', 'Stefan Bauer', 'Bernhard Schölkopf', 'Olivier Bachem']","['Dept. of Computer Science, ETH Zurich and Max-Planck Institute for Intelligent Systems', 'Dept. of Engineering Science, University of Oxford', 'Dept. of Statistics, University of Oxford', 'Max-Planck Institute for Intelligent Systems', 'Max-Planck Institute for Intelligent Systems', 'Google Research, Brain Team']",[]
https://papers.nips.cc/paper_files/paper/2019/hash/1c336b8080f82bcc2cd2499b4c57261d-Abstract.html,Transparency & Explainability,Calibration tests in multi-class classification: A unifying framework,"In safety-critical applications a probabilistic model is usually required to be calibrated, i.e., to capture the uncertainty of its predictions accurately. In multi-class classification, calibration of the most confident predictions only is often not sufficient. We propose and study calibration measures for multi-class classification that generalize existing measures such as the expected calibration error, the maximum calibration error, and the maximum mean calibration error. We propose and evaluate empirically different consistent and unbiased estimators for a specific class of measures based on matrix-valued kernels. Importantly, these estimators can be interpreted as test statistics associated with well-defined bounds and approximations of the p-value under the null hypothesis that the model is calibrated, significantly improving the interpretability of calibration measures, which otherwise lack any meaningful unit or scale.",[],[],"['David Widmann', 'Fredrik Lindsten', 'Dave Zachariah']",[],[]
https://papers.nips.cc/paper_files/paper/2019/hash/4206e38996fae4028a26d43b24f68d32-Abstract.html,Transparency & Explainability,Provably robust boosted decision stumps and trees against adversarial attacks,"The problem of adversarial robustness has been studied extensively for neural networks. However, for boosted decision trees and decision stumps there are almost no results, even though they are widely used in practice (e.g. XGBoost) due to their accuracy, interpretability, and efficiency. We show in this paper that for boosted decision stumps the \textit{exact} min-max robust loss and test error for an $l_\infty$-attack can be computed in $O(T\log T)$ time per input, where $T$ is the number of decision stumps and the optimal update step of the ensemble can be done in $O(n^2\,T\log T)$, where $n$ is the number of data points. For boosted trees we show how to efficiently calculate and optimize an upper bound on the robust loss, which leads to state-of-the-art robust test error for boosted trees on MNIST (12.5\% for $\epsilon_\infty=0.3$), FMNIST (23.2\% for $\epsilon_\infty=0.1$), and CIFAR-10 (74.7\% for $\epsilon_\infty=8/255$). Moreover, the robust test error rates we achieve are competitive to the ones of provably robust convolutional networks. The code of all our experiments is available at \url{http://github.com/max-andr/provably-robust-boosting}.",[],[],"['Maksym Andriushchenko', 'Matthias Hein']","['University of Tübingen', 'University of Tübingen']",[]
https://papers.nips.cc/paper_files/paper/2019/hash/44a2e0804995faf8d2e3b084a1e2db1d-Abstract.html,Transparency & Explainability,PC-Fairness: A Unified Framework for Measuring Causality-based Fairness,"A recent trend of fair machine learning is to define fairness as causality-based notions which concern the causal connection between protected attributes and decisions. However, one common challenge of all causality-based fairness notions is identifiability, i.e., whether they can be uniquely measured from observational data, which is a critical barrier to applying these notions to real-world situations. In this paper, we develop a framework for measuring different causality-based fairness. We propose a unified definition that covers most of previous causality-based fairness notions, namely the path-specific counterfactual fairness (PC fairness). Based on that, we propose a general method in the form of a constrained optimization problem for bounding the path-specific counterfactual fairness under all unidentifiable situations. Experiments on synthetic and real-world datasets show the correctness and effectiveness of our method.",[],[],"['Yongkai Wu', 'Lu Zhang', 'Xintao Wu', 'Hanghang Tong']",[],[]
https://papers.nips.cc/paper_files/paper/2019/hash/5352696a9ca3397beb79f116f3a33991-Abstract.html,Transparency & Explainability,Bat-G net: Bat-inspired High-Resolution 3D Image Reconstruction using Ultrasonic Echoes,"In this paper, a bat-inspired high-resolution ultrasound 3D imaging system is presented. Live bats demonstrate that the properly used ultrasound can be used to perceive 3D space. With this in mind, a neural network referred to as a Bat-G network is implemented to reconstruct the 3D representation of target objects from the hyperbolic FM (HFM) chirped ultrasonic echoes. The Bat-G network consists of an encoder emulating a bat's central auditory pathway, and a 3D graphical visualization decoder. For the acquisition of the ultrasound data, a custom-made Bat-I sensor module is used. The Bat-G network shows the uniform 3D reconstruction results and achieves precision, recall, and F1-score of 0.896, 0.899 and 0.895, respectively. The experimental results demonstrate the implementation feasibility of a high-resolution non-optical sound-based imaging system being used by live bats. The project web page (https://sites.google.com/view/batgnet) contains additional content summarizing our research.",[],[],"['Gunpil Hwang', 'Seohyeon Kim', 'Hyeon-Min Bae']",[],[]
https://papers.nips.cc/paper_files/paper/2019/hash/54ebdfbbfe6c31c39aaba9a1ee83860a-Abstract.html,Transparency & Explainability,Discriminative Topic Modeling with Logistic LDA,"Despite many years of research into latent Dirichlet allocation (LDA), applying LDA to collections of non-categorical items is still challenging for practitioners. Yet many problems with much richer data share a similar structure and could benefit from the vast literature on LDA. We propose logistic LDA, a novel discriminative variant of latent Dirichlet allocation which is easy to apply to arbitrary inputs. In particular, our model can easily be applied to groups of images, arbitrary text embeddings, or integrate deep neural networks. Although it is a discriminative model, we show that logistic LDA can learn from unlabeled data in an unsupervised manner by exploiting the group structure present in the data. In contrast to other recent topic models designed to handle arbitrary inputs, our model does not sacrifice the interpretability and principled motivation of LDA.",[],[],"['Iryna Korshunova', 'Hanchen Xiong', 'Mateusz Fedoryszak', 'Lucas Theis']","['Ghent University', 'Twitter', 'Twitter', 'Twitter']",[]
https://papers.nips.cc/paper_files/paper/2019/hash/55a988dfb00a914717b3000a3374694c-Abstract.html,Transparency & Explainability,Disentangling Influence: Using disentangled representations to audit model predictions,"Motivated by the need to audit complex and black box models, there has been extensive research on quantifying how data features influence model predictions. Feature influence can be direct (a direct influence on model outcomes) and indirect (model outcomes are influenced via proxy features). Feature influence can also be expressed in aggregate over the training or test data or locally with respect to a single point. Current research has typically focused on one of each of these dimensions. In this paper, we develop disentangled influence audits, a procedure to audit the indirect influence of features. Specifically, we show that disentangled representations provide a mechanism to identify proxy features in the dataset, while allowing an explicit computation of feature influence on either individual outcomes or aggregate-level outcomes. We show through both theory and experiments that disentangled influence audits can both detect proxy features and show, for each individual or in aggregate, which of these proxy features affects the classifier being audited the most. In this respect, our method is more powerful than existing methods for ascertaining feature influence.",[],[],"['Charles Marx', 'Richard Phillips', 'Sorelle Friedler', 'Carlos Scheidegger', 'Suresh Venkatasubramanian']",[],[]
https://papers.nips.cc/paper_files/paper/2019/hash/567b8f5f423af15818a068235807edc0-Abstract.html,Transparency & Explainability,Demystifying Black-box Models with Symbolic Metamodels,"Understanding the predictions of a machine learning model can be as crucial as the model's accuracy in many application domains. However, the black-box nature of most highly-accurate (complex) models is a major hindrance to their interpretability. To address this issue, we introduce the symbolic metamodeling framework — a general methodology for interpreting predictions by converting ""black-box"" models into ""white-box"" functions that are understandable to human subjects. A symbolic metamodel is a model of a model, i.e., a surrogate model of a trained (machine learning) model expressed through a succinct symbolic expression that comprises familiar mathematical functions and can be subjected to symbolic manipulation. We parameterize symbolic metamodels using Meijer G-functions — a class of complex-valued contour integrals that depend on scalar parameters, and whose solutions reduce to familiar elementary, algebraic, analytic and closed-form functions for different parameter settings. This parameterization enables efficient optimization of metamodels via gradient descent, and allows discovering the functional forms learned by a machine learning model with minimal a priori assumptions. We show that symbolic metamodeling provides an all-encompassing framework for model interpretation — all common forms of global and local explanations of a model can be analytically derived from its symbolic metamodel.",[],[],"['Ahmed M. Alaa', 'Mihaela van der Schaar']","['ECE Department, UCLA', 'University of Cambridge, UCLA, and Alan Turing Institute']",[]
