link,category,title,abstract,keywords,ccs_concepts,author_names,author_affiliations,author_countries
https://neurips.cc/virtual/2019/workshop/13203,Transparency & Explainability,Workshop on Human-Centric Machine Learning,,[],[],"['Plamen P Angelov', 'Nuria Oliver', 'Adrian Weller', 'Manuel Rodriguez', 'Isabel Valera', 'Silvia Chiappa', 'Hoda Heidari', 'Niki Kilbertus']",[],[]
https://neurips.cc/virtual/2019/workshop/13192,Transparency & Explainability,"Robust AI in Financial Services: Data, Fairness, Explainability, Trustworthiness, and Privacy",,[],[],"['Alina Oprea', 'Avigdor Gal', 'Eren K.', 'Isabelle Moulinier', 'Jiahao Chen', 'Manuela Veloso', 'Senthil Kumar', 'Tanveer Faruquie']",[],[]
https://neurips.cc/virtual/2019/workshop/13186,Transparency & Explainability,"Perception as generative reasoning: structure, causality, probability",,[],[],"['Dan Rosenbaum', 'Marta Garnelo', 'Peter Battaglia', 'Kelsey Allen', 'Ilker Yildirim']",[],[]
https://neurips.cc/virtual/2019/workshop/13183,Transparency & Explainability,MLSys: Workshop on Systems for ML,,[],[],"['Aparna Lakshmiratan', 'Siddhartha Sen', 'Joseph Gonzalez', 'Dan Crankshaw', 'Sarah Bird']",[],[]
https://neurips.cc/virtual/2019/workshop/13159,Transparency & Explainability,Medical Imaging meets NeurIPS,,[],[],"['Hervé Lombaert', 'Ben Glocker', 'Ender Konukoglu', 'Marleen de Bruijne', 'Aasa Feragen', 'Ipek Oguz', 'Jonas Teuwen']",[],[]
https://neurips.cc/virtual/2019/workshop/13196,Fairness & Bias,Shared Visual Representations in Human and Machine Intelligence,,[],[],"['Arturo Deza', 'Joshua Peterson', 'Apurva Ratan Murty', 'Tom Griffiths']",[],[]
https://neurips.cc/virtual/2019/workshop/13186,Fairness & Bias,"Perception as generative reasoning: structure, causality, probability",,[],[],"['Dan Rosenbaum', 'Marta Garnelo', 'Peter Battaglia', 'Kelsey Allen', 'Ilker Yildirim']",[],[]
https://neurips.cc/virtual/2019/workshop/13173,Fairness & Bias,Fair ML in Healthcare,,[],[],"['Shalmali Joshi', 'Irene Y Chen', 'Ziad Obermeyer', 'Shems Saleh', 'Sendhil Mullainathan']",[],[]
https://neurips.cc/virtual/2019/workshop/13194,Fairness & Bias,Science meets Engineering of Deep Learning,,[],[],"['Levent Sagun', 'Caglar Gulcehre', 'Adriana Romero Soriano', 'Negar Rostamzadeh', 'Nando de Freitas']",[],[]
https://neurips.cc/virtual/2019/workshop/13170,Fairness & Bias,Joint Workshop on AI for Social Good,,[],[],"['Fei Fang', 'Joseph Aylett-Bullock', 'Marc-Antoine Dilhac', 'Brian Green', 'natalie saltiel', 'Dhaval Adjodah', 'Jack Clark', 'Sean McGregor', 'Margaux Luck', 'Jonathan Penn', 'Tristan Sylvain', 'Geneviève Boucher', 'Sydney Swaine-Simon', 'Girmaw Abebe Tadesse', 'Myriam Côté', 'Anna Bethke', 'Yoshua Bengio']",[],[]
https://neurips.cc/virtual/2019/workshop/13184,Fairness & Bias,NeurIPS Workshop on Machine Learning for Creativity and Design 3.0,,[],[],"['Luba Elliott', 'Sander Dieleman', 'Adam Roberts', 'Jesse Engel', 'Tom White', 'Rebecca Fiebrink', 'Parag Mital', 'Christine McLeavey', 'Nao Tokui']",[],[]
https://neurips.cc/virtual/2019/workshop/13202,Privacy & Data Governance,Workshop on Federated Learning for Data Privacy and Confidentiality,,[],[],"['Lixin Fan', 'Jakub Konečný', 'Yang Liu', 'Brendan McMahan', 'Virginia Smith', 'Han Yu']",[],[]
https://neurips.cc/virtual/2019/workshop/13187,Privacy & Data Governance,Privacy in Machine Learning (PriML),,[],[],"['Borja Balle', 'Kamalika Chaudhuri', 'Antti Honkela', 'Antti Koskela', 'Casey Meehan', 'Mi Jung Park', 'Mary Anne Smart', 'Mary Anne Smart', 'Adrian Weller']",[],[]
https://neurips.cc/virtual/2019/workshop/15423,Security,Competition Track Day 1,,[],[],['Hugo Jair Escalante'],[],[]
https://neurips.cc/virtual/2019/workshop/13193,Security,Safety and Robustness in Decision-making,,[],[],"['Mohammad Ghavamzadeh', 'Shie Mannor', 'Yisong Yue', 'Marek Petrik', 'Yinlam Chow']",[],[]
